Series,Iteration,Average Time (ms)
Total Average Time,96,673.0625
Current Action Time,96,603.0
Total Average Time,97,672.7474226804123
Current Action Time,97,642.5
Total Average Time,98,672.719387755102
Current Action Time,98,670.0
Total Average Time,99,676.7424242424242
Current Action Time,99,1071.0
Total Average Time,100,670.955
Current Action Time,100,98.0
