Series,Iteration,Average Time (ms)
Current Action Time,91,492.0
Total Average Time,92,578.125
Current Action Time,92,484.5
Total Average Time,93,577.510752688172
Current Action Time,93,521.0
Total Average Time,94,576.813829787234
Current Action Time,94,512.0
Total Average Time,95,576.0473684210526
Current Action Time,95,504.0
Total Average Time,96,575.4791666666666
Current Action Time,96,521.5
Total Average Time,97,575.3144329896908
Current Action Time,97,559.5
Total Average Time,98,574.2704081632653
Current Action Time,98,473.0
Total Average Time,99,573.959595959596
Current Action Time,99,543.5
Total Average Time,100,573.58
Current Action Time,100,536.0
