Series,Iteration,Average Time (ms)
Total Average Time,96,91.828125
Current Action Time,96,19.0
Total Average Time,97,91.66494845360825
Current Action Time,97,76.0
Total Average Time,98,91.26530612244898
Current Action Time,98,52.5
Total Average Time,99,90.9040404040404
Current Action Time,99,55.5
Total Average Time,100,90.675
Current Action Time,100,68.0
